,2954,31/01/23,PROFESSORS / GUIES / PERIODISTES,REUS,REUS,11:00,"8,00 €",PILAR,VISITA GUIADA,INTERÈS CULTURAL,,1,1,FALSO,FALSO,FALSO,1,VERDADERO
,2953,31/01/23,MAJORS DE 65 ANYS,FRANÇA ,INTERNACIONAL,11:00,"8,00 €",PILAR,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,FALSO,FALSO,1,1,VERDADERO
,2952,30/01/23,GENERAL,BARCELONA,CATALUNYA,17:00,"10,00 €",BENJAMÍN,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2951,30/01/23,GENERAL,BARCELONA,CATALUNYA,17:00,"10,00 €",BENJAMÍN,VISITA GUIADA,INTERÈS CULTURAL,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2950,30/01/23,GENERAL,ALEMANYA,INTERNACIONAL,17:00,"10,00 €",BENJAMÍN,VISITA GUIADA,XARXES SOCIALS,,FALSO,1,FALSO,FALSO,1,1,VERDADERO
,2949,30/01/23,GENERAL,ARAGÓ,ESPANYA,16:00,"10,00 €",BENJAMÍN,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2948,30/01/23,CARNET ESTUDIANT,ARAGÓ,ESPANYA,16:00,"8,00 €",BENJAMÍN,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2947,30/01/23,GENERAL,BARCELONA,CATALUNYA,13:00,"10,00 €",MANUEL,VISITA GUIADA,OFICINA DE TURISME,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2946,30/01/23,GENERAL,BARCELONA,CATALUNYA,13:00,"10,00 €",MANUEL,VISITA GUIADA,OFICINA DE TURISME,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2945,30/01/23,GENERAL,COMUNITAT DE MADRID,ESPANYA,13:00,"10,00 €",MANUEL,VISITA GUIADA,RECOMANAT,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
,2944,30/01/23,MAJORS DE 65 ANYS,GRANOLLERS,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2943,30/01/23,MAJORS DE 65 ANYS,GRANOLLERS,CATALUNYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,1,FALSO,FALSO,1,VERDADERO
,2942,30/01/23,MAJORS DE 65 ANYS,ASTÚRIES,ESPANYA,13:00,"8,00 €",MANUEL,VISITA GUIADA,INTERNET,,FALSO,1,FALSO,1,FALSO,1,VERDADERO
